case,study,type,condition,rx_x_mm,depth_mm,rx_z_mm,freq_MHz,S11_dB,S21_dB,S12_dB,S22_dB,path_loss_dB,S21_mag2,S11_phase_deg,S21_phase_deg,S12_phase_deg,S22_phase_deg,touchstone_file
t_surf_rest,A_main_library,surface,surface_rest,50.0,0.0,150.0,1.0,-4.269168818651527,-69.69031766270942,-69.69031766270942,-2.8122260733715345,69.69031766270942,1.0739108587505584e-07,-0.325443247033556,0.1414124665044,0.1414124665044,-0.197485309576439,t_surf_rest_SP1p0.s2p
t_surf_rest,A_main_library,surface,surface_rest,50.0,0.0,150.0,10.0,-4.269802216019285,-69.76741963658489,-69.76741963658489,-2.812107927226355,69.76741963658489,1.05501354717766e-07,-3.25383300831894,1.53379807222159,1.53379807222159,-1.97484571301414,t_surf_rest_SP10p0.s2p
t_surf_rest,A_main_library,surface,surface_rest,50.0,0.0,150.0,13.559999999999999,-4.270320473701291,-69.82816599285628,-69.82816599285628,-2.8122847289231574,69.82816599285628,1.0403594124358819e-07,-4.41112202872318,2.20391278903067,2.20391278903067,-2.67220487582089,t_surf_rest_SP13p56.s2p
t_surf_rest,A_main_library,surface,surface_rest,50.0,0.0,150.0,21.0,-4.271741778598129,-69.99146350096764,-69.99146350096764,-2.8121703145384815,69.99146350096764,1.0019675346028735e-07,-6.82649173984437,3.99002608693013,3.99002608693013,-4.14445761711164,t_surf_rest_SP21p0.s2p
t_surf_rest,A_main_library,surface,surface_rest,50.0,0.0,150.0,40.0,-4.275631733623296,-70.40762017766808,-70.40762017766808,-2.811224297715314,70.40762017766808,9.104120183970576e-08,-12.9694330887131,11.164197173992,11.164197173992,-7.87949453668636,t_surf_rest_SP40p0.s2p
t_surf_sweat,A_main_library,surface,surface_sweat,50.0,0.0,150.0,13.559999999999999,-6.38905582787134,-63.8906402217828,-63.8906402217828,-4.2884820861315625,63.8906402217828,4.0825919774893915e-07,-4.68332031244798,-3.13078420504239,-3.13078420504239,-2.71833394104167,t_surf_sweat_SP13p56.s2p
t_surf_sweat,A_main_library,surface,surface_sweat,50.0,0.0,150.0,40.0,-6.396878049773898,-64.97730572919227,-64.97730572919227,-4.285977229182284,64.97730572919227,3.1788455473773524e-07,-13.7443711979975,-4.71416954073385,-4.71416954073385,-8.00042675172077,t_surf_sweat_SP40p0.s2p
t_surf_loose,A_main_library,surface,surface_loose,50.0,0.0,150.0,13.559999999999999,-4.239110132423583,-69.6026971880124,-69.6026971880124,-2.727994568096361,69.6026971880124,1.0957974392351472e-07,-4.37304033677494,2.07966097581557,2.07966097581557,-2.59039504254427,t_surf_loose_SP13p56.s2p
t_surf_loose,A_main_library,surface,surface_loose,50.0,0.0,150.0,40.0,-4.245365775168568,-70.24930812981894,-70.24930812981894,-2.7270468931621474,70.24930812981894,9.442112856572416e-08,-12.8579672581558,11.0436833789652,11.0436833789652,-7.62910695196641,t_surf_loose_SP40p0.s2p
t_surf_fail,A_main_library,surface,surface_contact_failure,50.0,0.0,150.5,13.559999999999999,-4.2519030589259454,-109.0968628971851,-109.0968628971851,-0.00011314246532482804,109.0968628971851,1.2311577698804624e-11,-4.38799138731354,84.6369983259778,84.6369983259778,-0.152335854692819,t_surf_fail_SP13p56.s2p
